1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,SAR_Laptime_s,SAR_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
1 P 2:10.735,2:10.735,130.735,130.735,,1 P 2:12.767,2:12.767,132.767,132.767,,1 P 3:08.456,3:08.456,188.456,188.456,,,,#VALUE!,#VALUE!,,1 P 2:14.751,2:14.751,134.751,134.751,,1 P 2:24.356,2:24.356,144.356,144.356,,1 P 2:53.223,2:53.223,173.223,173.223,,1 P 2:50.167,2:50.167,170.167,170.167,,1 P 2:20.526,2:20.526,140.526,140.526,,1 P 2:59.595,2:59.595,179.595,179.595,,1 P 2:34.543,2:34.543,154.543,154.543,,1 P 2:17.613,2:17.613,137.613,137.613,,1 P 3:05.172,3:05.172,185.172,185.172,,1 P 2:42.853,2:42.853,162.853,162.853,,,,#VALUE!,#VALUE!,,1 P 2:47.566,2:47.566,167.566,167.566,,1 P 3:15.118,3:15.118,195.118,195.118,,1 P 2:44.736,2:44.736,164.736,164.736,,1 P 2:32.716,2:32.716,152.716,152.716,,1 P 2:39.587,2:39.587,159.587,159.587,,,RefTime (106.860s laps),VER,PER,LEC,SAI,HAM,RUS,ALO,STR,NOR,PIA,OCO,GAS,TSU,RIC,ALB,SAR,MAG,HUL,BOT,ZHO
2 28:31.131,8:31.131,511.131,641.866,,2 28:31.382,8:31.382,511.382,644.149,,2 28:24.529,8:24.529,504.529,692.985,,,,#VALUE!,#VALUE!,,2 28:30.610,8:30.610,510.610,645.361,,2 28:34.222,8:34.222,514.222,658.578,,2 28:31.726,8:31.726,511.726,684.949,,2 28:31.609,8:31.609,511.609,681.776,,2 28:34.647,8:34.647,514.647,655.173,,2 28:28.558,8:28.558,508.558,688.153,,2 28:31.605,8:31.605,511.605,666.148,,2 28:32.219,8:32.219,512.219,649.832,,2 28:25.561,8:25.561,505.561,690.733,,2 28:28.601,8:28.601,508.601,671.454,,,,#VALUE!,#VALUE!,,2 28:29.992,8:29.992,509.992,677.558,,2 28:19.553,8:19.553,499.553,694.671,,2 28:28.578,8:28.578,508.578,673.314,,2 28:29.973,8:29.973,509.973,662.689,,2 28:28.819,8:28.819,508.819,668.406,,1,106.860,23.875,25.907,47.683,30.753,45.856,52.727,33.666,72.735,27.891,37.496,63.307,66.363,60.706,,,81.596,78.312,55.993,57.876,88.258
3 2:52.922,2:52.922,172.922,814.788,,3 2:51.630,2:51.630,171.630,815.779,,3 2:12.603,2:12.603,132.603,825.588,,,,#VALUE!,#VALUE!,,3 2:51.325,2:51.325,171.325,816.686,,3 2:40.061,2:40.061,160.061,818.639,,3 2:18.362,2:18.362,138.362,823.311,,3 2:20.237,2:20.237,140.237,822.013,,3 2:42.586,2:42.586,162.586,817.759,,3 2:14.682,2:14.682,134.682,822.835,,3 2:33.066,2:33.066,153.066,819.214,,3 2:47.321,2:47.321,167.321,817.153,,3 2:12.996,2:12.996,132.996,823.729,,3 2:33.011,2:33.011,153.011,824.465,,,,#VALUE!,#VALUE!,,3 2:23.191,2:23.191,143.191,820.749,,3 2:09.289,2:09.289,129.289,823.96,,3 2:28.991,2:28.991,148.991,822.305,,3 2:37.153,2:37.153,157.153,819.842,,3 2:32.774,2:32.774,152.774,821.18,,2,213.720,428.146,430.429,452.428,436.112,448.969,454.686,441.453,474.433,431.641,444.858,468.056,471.229,463.838,,,479.265,477.013,457.734,459.594,480.951
4 1:36.472,1:36.472,96.472,911.260,,4 1:36.573,1:36.573,96.573,912.352,,4 1:40.424,1:40.424,100.424,926.012,,,,#VALUE!,#VALUE!,,4 1:36.853,1:36.853,96.853,913.539,,4 1:37.734,1:37.734,97.734,916.373,,4 1:39.925,1:39.925,99.925,923.236,,4 1:39.541,1:39.541,99.541,921.554,,4 1:37.453,1:37.453,97.453,915.212,,4 1:39.528,1:39.528,99.528,922.363,,4 1:38.268,1:38.268,98.268,917.482,,4 1:37.225,1:37.225,97.225,914.378,,4 1:40.103,1:40.103,100.103,923.832,,4 1:40.374,1:40.374,100.374,924.839,,,,#VALUE!,#VALUE!,,4 1:39.108,1:39.108,99.108,919.857,,4 1:40.228,1:40.228,100.228,924.188,,4 1:39.462,1:39.462,99.462,921.767,,4 1:38.303,1:38.303,98.303,918.145,,4 1:38.976,1:38.976,98.976,920.156,,3,320.580,494.208,495.199,498.634,496.573,499.262,500.600,497.179,502.255,496.106,498.059,501.433,502.731,500.169,,,505.008,503.149,503.885,501.725,503.380
5 1:36.437,1:36.437,96.437,1007.697,,5 1:36.568,1:36.568,96.568,1008.920,,5 1:39.668,1:39.668,99.668,1025.680,,,,#VALUE!,#VALUE!,,5 1:36.860,1:36.860,96.860,1010.399,,5 1:37.631,1:37.631,97.631,1014.004,,5 1:39.473,1:39.473,99.473,1022.709,,5 1:40.081,1:40.081,100.081,1021.635,,5 1:37.532,1:37.532,97.532,1012.744,,5 1:39.552,1:39.552,99.552,1021.915,,5 1:37.812,1:37.812,97.812,1015.294,,5 1:37.322,1:37.322,97.322,1011.7,,5 1:39.392,1:39.392,99.392,1023.224,,5 P 1:41.491,1:41.491,101.491,1026.33,,,,#VALUE!,#VALUE!,,5 1:39.508,1:39.508,99.508,1019.365,,5 1:39.597,1:39.597,99.597,1023.785,,5 1:38.279,1:38.279,98.279,1020.046,,5 1:38.139,1:38.139,98.139,1016.284,,5 1:37.737,1:37.737,97.737,1017.893,,4,427.440,483.820,484.912,490.042,486.938,490.705,492.716,487.772,494.923,486.099,488.933,494.114,495.796,492.417,,,498.572,496.392,497.399,494.327,496.748
6 1:36.855,1:36.855,96.855,1104.552,,6 1:37.693,1:37.693,97.693,1106.613,,6 1:39.582,1:39.582,99.582,1125.262,,,,#VALUE!,#VALUE!,,6 1:37.900,1:37.900,97.900,1108.299,,6 1:38.141,1:38.141,98.141,1112.145,,6 1:40.257,1:40.257,100.257,1122.966,,6 1:40.496,1:40.496,100.496,1122.131,,6 1:37.861,1:37.861,97.861,1110.605,,6 1:38.746,1:38.746,98.746,1120.661,,6 1:38.021,1:38.021,98.021,1113.315,,6 1:37.721,1:37.721,97.721,1109.421,,6 1:40.026,1:40.026,100.026,1123.25,,6 1:57.275,1:57.275,117.275,1143.605,,,,#VALUE!,#VALUE!,,6 1:38.887,1:38.887,98.887,1118.252,,6 1:39.991,1:39.991,99.991,1123.776,,6 P 1:41.288,1:41.288,101.288,1121.334,,6 1:38.190,1:38.190,98.19,1114.474,,6 1:38.392,1:38.392,98.392,1116.285,,5,534.300,473.397,474.620,480.994,477.400,481.984,483.593,478.444,487.615,476.099,479.704,487.335,488.409,485.065,,,491.380,488.924,492.030,485.746,489.485
7 1:36.970,1:36.970,96.970,1201.522,,7 1:37.308,1:37.308,97.308,1203.921,,7 1:40.055,1:40.055,100.055,1225.317,,,,#VALUE!,#VALUE!,,7 1:37.742,1:37.742,97.742,1206.041,,7 1:38.191,1:38.191,98.191,1210.336,,7 1:40.248,1:40.248,100.248,1223.214,,7 1:39.744,1:39.744,99.744,1221.875,,7 1:38.203,1:38.203,98.203,1208.808,,7 1:38.624,1:38.624,98.624,1219.285,,7 1:38.187,1:38.187,98.187,1211.502,,7 1:37.756,1:37.756,97.756,1207.177,,7 1:40.357,1:40.357,100.357,1223.607,,7 1:36.751,1:36.751,96.751,1240.356,,,,#VALUE!,#VALUE!,,7 P 1:40.998,1:40.998,100.998,1219.25,,7 P 1:42.874,1:42.874,102.874,1226.65,,7 1:57.449,1:57.449,117.449,1238.783,,7 1:38.374,1:38.374,98.374,1212.848,,7 1:38.070,1:38.070,98.07,1214.355,,6,641.160,463.392,465.453,472.155,468.261,473.314,475.125,469.445,479.501,467.139,470.985,480.971,481.806,477.092,,,484.102,482.090,502.445,480.174,482.616
8 1:37.329,1:37.329,97.329,1298.851,,8 1:37.220,1:37.220,97.220,1301.141,,8 1:39.655,1:39.655,99.655,1324.972,,,,#VALUE!,#VALUE!,,8 1:37.824,1:37.824,97.824,1303.865,,8 1:38.222,1:38.222,98.222,1308.558,,8 1:41.363,1:41.363,101.363,1324.577,,8 1:40.009,1:40.009,100.009,1321.884,,8 1:38.461,1:38.461,98.461,1307.269,,8 1:38.610,1:38.610,98.610,1317.895,,8 1:37.920,1:37.920,97.92,1309.422,,8 1:37.736,1:37.736,97.736,1304.913,,8 1:39.601,1:39.601,99.601,1323.208,,8 1:37.616,1:37.616,97.616,1337.972,,,,#VALUE!,#VALUE!,,8 1:58.044,1:58.044,118.044,1337.294,,8 1:58.402,1:58.402,118.402,1345.052,,8 1:36.706,1:36.706,96.706,1335.489,,8 1:38.096,1:38.096,98.096,1310.944,,8 1:38.192,1:38.192,98.192,1312.547,,7,748.020,453.502,455.901,463.482,459.157,464.828,466.335,460.788,471.265,458.021,462.316,473.855,475.194,471.230,,,477.297,475.587,492.336,490.763,478.630
9 1:37.178,1:37.178,97.178,1396.029,,9 1:37.838,1:37.838,97.838,1398.979,,9 1:40.871,1:40.871,100.871,1425.843,,,,#VALUE!,#VALUE!,,9 1:37.963,1:37.963,97.963,1401.828,,9 1:38.500,1:38.500,98.5,1407.058,,9 1:40.780,1:40.780,100.780,1425.357,,9 1:40.294,1:40.294,100.294,1422.178,,9 1:38.884,1:38.884,98.884,1406.153,,9 1:38.881,1:38.881,98.881,1416.776,,9 1:38.213,1:38.213,98.213,1407.635,,9 1:37.980,1:37.980,97.98,1402.893,,9 1:40.251,1:40.251,100.251,1423.459,,9 1:37.898,1:37.898,97.898,1435.87,,,,#VALUE!,#VALUE!,,9 1:37.170,1:37.170,97.17,1434.464,,9 1:37.160,1:37.160,97.16,1442.212,,9 1:37.406,1:37.406,97.406,1432.895,,9 1:38.533,1:38.533,98.533,1409.477,,9 1:38.253,1:38.253,98.253,1410.8,,8,854.880,443.971,446.261,454.542,450.033,456.064,457.667,452.389,463.015,448.985,453.678,467.004,469.697,482.414,,,470.092,468.328,483.092,480.609,490.172
10 1:37.590,1:37.590,97.590,1493.619,,10 1:37.926,1:37.926,97.926,1496.905,,10 1:40.916,1:40.916,100.916,1526.759,,,,#VALUE!,#VALUE!,,10 1:38.158,1:38.158,98.158,1499.986,,10 1:39.011,1:39.011,99.011,1506.069,,10 1:41.117,1:41.117,101.117,1526.474,,10 1:40.315,1:40.315,100.315,1522.493,,10 1:38.781,1:38.781,98.781,1504.934,,10 1:39.052,1:39.052,99.052,1515.828,,10 1:39.034,1:39.034,99.034,1506.669,,10 1:38.304,1:38.304,98.304,1501.197,,10 1:40.177,1:40.177,100.177,1523.636,,10 1:38.340,1:38.340,98.34,1534.21,,,,#VALUE!,#VALUE!,,10 1:37.496,1:37.496,97.496,1531.96,,10 1:37.500,1:37.500,97.5,1539.712,,10 1:37.451,1:37.451,97.451,1530.346,,10 1:38.703,1:38.703,98.703,1508.18,,10 1:38.368,1:38.368,98.368,1509.168,,9,961.740,434.289,437.239,445.895,441.153,447.737,449.060,444.413,455.036,440.088,445.318,460.438,463.617,472.724,,,464.103,461.719,474.130,471.155,480.472
